RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Trametinib_0.0003_24hr	2638.61064631685	960.311910191725	245.997724772957	341.819903884965	625.175839808274	158.058468466196	535.785897073663	1214.02682441978	254.17198234107	181.309170282543	206.887743440969	157.535921543895	155.911583249243	2181.46359485368	250.482962411705	245.346881180626	274.484719979818	2641.43797149344	247.148571644803	1671.31569248234	3314.20484031282
Trametinib_0.001_24hr	2543.53540454246	862.018329493088	257.105583936801	315.479323238973	632.600712310731	161.232394338381	575.677178406847	1285.32223304806	257.533256089533	194.745186965109	307.572651744569	159.05946477946	156.699789335089	2322.08332422646	309.642968729427	215.690691902567	278.413788676761	2365.53300263331	307.539790980908	1919.19196247531	3973.43768202765
Palbociclib_3.1623_24hr	3170.77874323336	698.790077542063	194.007720555962	694.815653255304	1493.57015727871	212.449101682516	820.818772494513	1300.15878419898	485.237809070958	248.687895391368	744.974820775421	171.203059253841	254.103209948793	4834.61820702268	392.18940380395	500.197885149963	784.335487929773	1858.98286905633	697.591163862473	1750.38980687637	6732.05105852231
Trametinib_0.0031623_24hr	2683.62780661075	714.878288603848	226.322693142575	452.288060187469	644.842898371978	159.107083867785	728.464746916626	1443.22271386285	333.453641835224	272.483659595461	265.396742969906	168.488573754317	167.096761223483	2945.69472668969	451.474006906759	198.191939812531	300.521491366552	2051.26226739023	263.719146521954	1713.06819733596	5253.48507844105
Etoposide_0.01_24hr	2484.49336379396	1213.94948538881	278.38061490837	445.124743437345	957.398866270431	201.935079494799	525.577061911838	1206.24127018326	362.565580485389	212.939914314017	519.436052996533	178.219733283804	186.659359088658	3751.14502847945	280.480499257058	281.929039871223	316.345170381377	3058.70271272907	530.138474492323	2679.94800272412	4905.89643511639
Palbociclib_0.031623_24hr	2725.0059135239	1261.14737448955	291.87432932981	489.066130434783	950.443875810713	196.157319961566	647.53508839779	1142.48597333654	335.986472736008	217.51419240932	311.500208743694	175.496276723517	184.586905596925	3799.98505524862	278.918357434542	271.274492673553	307.114257266394	2640.54991592601	450.413667547442	2436.23800936824	4966.27162647129
DMSO_0_24hr	2412.73393368134	1014.77769723573	300.61465339898	423.893894174872	728.935212599359	172.046026812196	436.714236860838	1058.26802610037	315.193257385218	194.610549650018	300.491147229802	165.874363447621	168.649839186143	3511.67125572429	261.390614070471	265.26123792858	275.45329950172	2431.0877835449	378.845321627714	1684.39449044964	5089.28307106418
Etoposide_1_24hr	2283.34437235543	624.179775740479	161.732978843441	838.218843441467	1448.53560366714	209.521942172073	875.295674188999	2057.67826093089	1866.61847531735	289.557572637518	308.934294781382	371.360207334274	248.696210155148	5722.51108885755	428.706138222849	388.999946403385	676.712950634697	938.86223977433	457.119662905501	2731.53339492243	7078.34775317348
Alpelisib_0.031623_24hr	2557.35035861749	1179.57627858965	307.391291811645	454.095967061007	787.867751333797	196.091736256089	500.467396195778	1148.77341660868	317.864097889121	204.930166086755	364.854968452795	173.252064950128	179.803022964509	3995.25173254465	270.39905822315	267.35251078636	297.306189979123	2724.98792345164	468.135564370216	2296.83172906518	4741.60106077476
Vorinostat_0.031623_24hr	2573.83360169686	1236.00630887411	331.198560880532	406.382280669571	753.45496078881	179.214047236872	471.302142169227	1125.58142169227	300.006458381105	194.422815180005	312.700802797524	170.467027058014	169.414069479477	2823.25258931438	262.76258633341	285.170220820913	292.301241687686	2916.85931391883	366.336351754185	2026.18901238248	4595.77395069938
Trametinib_0.31623_24hr	2380.50675565124	144.261108719053	136.999168998924	459.978462863294	449.019679224973	131.724108719053	870.83496555436	1293.008532831	317.983896663079	441.394975242196	155.655029063509	155.066700753498	152.269049515608	3077.602532831	682.724041980624	210.060045209903	216.911554359526	210.587778256189	186.681147470398	323.133398277718	7969.61662648009
Neratinib_0.31623_24hr	2612.21225843882	184.816542194093	177.689056962025	483.992764767932	608.761299578059	141.101644514768	1237.85890400844	1329.11192721519	232.994254219409	355.365622362869	153.845594936709	175.400889240506	153.014991561181	4346.68347362869	748.499137130802	233.103146624473	227.213870253165	293.79385021097	191.103790084388	436.003016877637	9914.00437130802
Dasatinib_3.1623_24hr	1307.37339841689	222.457973614776	189.731802110818	396.295044854881	2490.71501846966	204.632290237467	2923.9707651715	1319.02644063325	261.367390501319	714.212253298153	285.87307651715	209.52589182058	184.762759894459	12374.4773245383	1129.38227440633	403.372865435356	351.806398416887	321.558596306069	503.043817941953	692.980870712401	23179.9127994723
Palbociclib_10_24hr	2883.39967751703	506.857616956851	157.185868281605	708.642941710825	1396.72461468584	209.53952990159	709.607279333838	1173.34635049205	441.443577592733	246.461286146858	742.716444360333	175.465248296745	263.424022710068	5008.78174640424	409.247741862226	490.86234670704	786.892405753217	1599.68085616957	735.204474640424	1440.08049053747	8018.70125056775
Palbociclib_0.1_24hr	3032.34846251103	1128.68425992355	253.88563481329	525.940465157307	835.287789767715	186.006119670685	479.483107615407	1244.13077241988	359.190981182005	204.921074095854	401.282113790062	171.661912672743	184.53930990885	3359.35480005881	279.220429285504	307.133960599824	381.856880329315	3109.10325874743	409.675224051749	1931.11811408409	5593.86666186416
Paclitaxel_0.0031623_24hr	3235.39751307484	302.397691614067	186.140751127142	692.740553651939	971.104254283138	149.510317403066	1036.12856807935	3294.52261316501	1288.62832461677	296.346378719567	380.569397655546	187.721174932371	188.411951307484	4685.46073399459	527.458790802525	395.296704238052	403.172151487827	924.341724075744	462.110455365194	967.062165915239	8982.25835437331
Etoposide_0.031623_24hr	2369.77403818804	1043.03496365552	256.281647879905	446.170178825388	818.351135633395	194.015834606268	473.152633394785	1239.33531314195	427.48887411114	200.569931788254	443.702236502502	176.959847774559	186.602807216223	3838.70898709507	267.358996312879	276.736863049776	329.816719252041	2757.10457018699	544.816777455886	2118.73762733737	5253.86812167501
Etoposide_3.1623_24hr	2460.58507922535	833.298716549296	140.618362676056	620.615705985915	882.422278169014	172.165521126761	821.775200704225	2738.16501760563	2707.03942605634	252.228704225352	187.072334507042	623.267943661972	191.79076056338	5303.9169084507	377.87423415493	355.141100352113	432.835512323944	886.912102112676	255.360825704225	2279.74855633803	7620.3664471831
Vorinostat_1_24hr	3812.35136068194	881.48368673415	243.021449653703	647.345551944592	556.363785295685	156.499753329782	448.095132658498	943.564832179009	615.606100692595	209.721713372403	174.539556206713	189.634397975493	188.835781033564	3645.65292754395	272.878937133724	259.081619072989	359.982647309537	1137.95499893447	229.728774107619	1037.82439690996	4220.51722642515
Alpelisib_0.01_24hr	2703.01930957053	997.321815565729	269.3365088293	404.832088074995	650.338921953346	167.482697841727	458.652518639634	1254.77108458688	320.772594506213	188.82219206453	272.162321560933	161.927940701984	164.86675147155	2724.85088663615	264.113281229562	287.524324831044	290.443591890124	2718.12971353826	297.140696969697	1520.73886832352	5130.21102725093
Alpelisib_10_24hr	3095.44608184143	632.840828644501	207.215612105712	488.644255754476	529.058319693095	148.867132139812	677.445015345269	1157.77694373402	263.302236999148	201.56736402387	184.744540494459	157.698215686275	157.279969309463	3003.91112531969	526.510930946292	296.50763256607	254.81179369139	1259.4350571185	222.883936061381	765.438034100597	6740.28376129582
Palbociclib_0.31623_24hr	2612.49152774632	946.059255096263	209.135239524349	395.825845130238	714.004620611552	183.574825311438	404.626734994337	1196.00184343148	327.723923839185	193.176537655719	361.368317383918	162.02419195923	174.656577010193	2701.52147423556	269.396202151755	317.460061155153	371.458122593431	2472.60934626274	328.498826160815	1560.68986268403	5114.80569450736
Neratinib_0.0032_24hr	2315.74870547417	946.675906707787	271.241577872012	355.367495759445	672.867591942945	170.653464148034	351.746704703161	1224.24701060139	293.287038164996	185.134917887433	445.435440439476	162.427285080956	163.761963762529	2575.58812606014	260.815506746338	267.795745181187	277.846301464919	2725.41578430995	351.839625096376	1678.15724325366	4631.50247571318
Vorinostat_3.1623_24hr	2746.85507470651	235.795341515475	131.192569903949	736.597181430096	423.463740661686	138.492599786553	390.556982924226	772.503368196371	674.808885805763	216.345783351121	165.984294557097	183.760996798292	211.389101387407	2380.16608431163	283.621022411953	206.264436499466	317.688759871932	221.195717182497	187.399693703308	546.878917822839	3901.36576520811
Dasatinib_0.31623_24hr	3812.1064058296	442.565606502242	171.933835201794	633.60627690583	672.34723206278	140.643028026906	1843.33674327354	1642.59752578475	385.473956278027	438.886201793722	212.335135650224	169.851394618834	154.967265695067	4858.06719170404	973.880708520179	381.498372197309	364.749303811659	841.584381165919	259.099853139013	420.968362107623	15104.5947017937
Dasatinib_0.01_24hr	1889.8726481982	915.647602927928	257.212573198198	366.50619009009	773.65213963964	182.197027027027	433.396115540541	982.003373648649	274.254301801802	204.714714864865	573.228004954955	168.796632432432	169.59912972973	3544.36299481982	295.687229279279	265.74453018018	268.107990315315	2530.21811396396	606.639545495495	1831.31698468468	5260.07169504505
Paclitaxel_0.01_24hr	2914.71467276423	228.716908536585	257.605282520325	800.165461382114	1289.73912195122	158.864351626016	1365.26955691057	3790.8031199187	1131.83690853659	324.984211382114	427.098400406504	223.780004065041	189.528483739837	9105.4764796748	731.210359756098	463.19556097561	413.447778455285	580.456770325203	661.250284552846	847.035514227642	14416.0261869919
Palbociclib_0.01_24hr	2626.1932563526	980.57426354846	287.692051045649	425.600267596132	635.955480998426	168.774772880594	419.055719136497	1075.94696379582	301.436296604452	190.694171576344	236.538168428154	162.539642005847	166.865749494041	3589.69028108837	251.646120980436	267.054068810434	261.134814256802	2078.60356757365	334.950251855183	1478.08721250281	4471.77336788846
Neratinib_1_24hr	2993.61009845789	149.955827995255	137.052432977461	506.917371293001	437.742517200474	129.442067615658	895.714951364176	1122.91966548043	253.288884934757	301.927524317912	149.554945432977	168.9431257414	145.673264531435	3568.75952194543	759.679137603796	219.911474495848	195.547411625148	187.14672004745	179.011049822064	247.530995255042	9473.17347805457
Trametinib_0.1_24hr	2412.18077085162	143.372372256365	136.664124670764	443.410113257243	440.097389815628	130.173086040386	549.160259877085	1127.82575680421	302.377964881475	365.752441615452	149.530394205443	153.687990342406	149.880105355575	3333.07135733099	637.623178226514	193.655985074627	202.410755926251	188.953327480246	178.062434591747	282.175371378402	7487.01853731343
Vorinostat_10_24hr	2333.54211167513	139.998957698816	134.843343485618	588.361392554992	474.143468697124	129.38262605753	565.115187817259	651.668796954315	625.082932318105	268.643368866328	147.066329949239	196.656944162437	181.443370558376	3463.1384822335	493.685219966159	218.968803722504	190.163402707276	178.628851099831	175.288126903553	572.199680203046	6963.69828087986
Alpelisib_0.1_24hr	2536.81848464651	937.893890026184	267.593839800048	413.318991430612	585.24756129493	156.961290169007	362.355215900976	1110.53133325399	289.726631754344	186.297044275173	260.762095929541	158.123043799095	158.680306117591	2620.84612735063	269.775048559867	277.309393953821	274.533671268746	2832.62508474173	288.350438467032	1244.52113901452	5062.32537205427
Etoposide_0.31623_24hr	3258.19543532964	554.030157020634	203.295219929542	624.121977856064	774.779917463513	161.409667337695	501.367140412682	1962.58503120282	1049.03666683442	209.398628585808	245.672421741319	173.728281328636	187.375874182184	3775.90705284348	308.168991444389	376.798014594867	506.173568696527	1321.40414896829	337.073112229492	1088.47680372421	6527.92771917464
Trametinib_0.031623_24hr	2839.21765797706	159.882352450469	132.376621480709	550.300430656934	418.360423357664	127.829293013556	573.617419186653	1173.35934202294	295.08738164755	274.207623566215	148.311789363921	150.521779979145	147.448187695516	3131.16908446298	581.081032325339	187.607739311783	195.371831074035	194.147607924922	170.095046923879	237.874089676747	7049.17962460897
Neratinib_0.1_24hr	3216.65817555267	533.016371261378	220.788358257477	467.529902470741	420.809647594278	135.776762028609	659.702293237971	1281.20651170351	254.421224317295	200.31805916775	151.400698959688	154.181820546164	149.783582574772	3245.26844538362	423.383570221066	223.054871261378	233.617107282185	366.050800390117	183.318576072822	484.793562418726	6792.89287061118
Paclitaxel_0.00032_24hr	2290.33402025191	862.368324771548	299.602651765868	417.382810323537	536.237021239812	162.933680414917	398.702238577426	992.284101753519	288.572947394418	182.732328229192	253.796138799704	161.319138799704	164.02445912571	3644.07784020746	251.57659446777	253.738792788343	254.067558903433	1626.22667498148	347.127540627315	1298.4089145468	4644.2425942208
Etoposide_10_24hr	2751.58587606838	215.712871794872	136.242882478632	694.554739316239	537.184414529915	150.03314957265	784.251803418803	2330.1150534188	1628.54301495726	206.690532051282	152.380083333333	395.30710042735	170.903594017094	3999.86431410256	356.224952991453	400.171856837607	403.664664529915	239.918292735043	187.004044871795	543.500087606838	6623.6836474359
Palbociclib_1_24hr	3812.46803474078	816.69823677178	328.696944949225	602.259352218065	732.869207910208	160.691714591128	484.648210048103	1131.15271031534	386.561192410476	201.818402458578	221.644249599145	160.500482095136	172.1584404062	3946.88454997328	305.619102084447	374.390493319081	411.250899518974	1247.30762319615	308.247764297167	777.310374665954	6382.15704917157
Dasatinib_10_24hr	3483.09635869565	167.444956521739	149.80472826087	744.591076086956	335.125782608696	132.414826086957	2615.35973913043	1308.17704347826	265.19852173913	402.055934782609	152.121934782609	193.105565217391	149.083467391304	4414.61452173913	1221.63136956522	256.537467391304	217.050815217391	190.083130434783	184.911902173913	169.272065217391	17388.2702934783
Paclitaxel_0.1_24hr	4206.6044375	432.84853125	266.014833333333	848.361572916667	809.688927083333	135.832916666667	2267.13867708333	4390.07113541667	955.412125	261.581114583333	356.525010416667	175.867125	151.143916666667	6256.54295833333	812.9710625	463.149479166667	377.77553125	407.30215625	390.8803125	267.85725	18717.55009375
Vorinostat_0.01_24hr	2711.43530600572	843.724285748332	320.92480600572	409.515404671115	570.840508102955	152.443833889418	341.252149666349	1017.06411201144	276.374851525262	183.014063393708	206.244031458532	157.032862726406	158.181791468065	2952.12338536702	254.735196854147	271.734744995234	248.799008102955	1864.96287631077	281.382206387035	1031.86296329838	4821.341457102
Vorinostat_0.31623_24hr	2788.60115877252	941.883793862575	255.46124149433	449.94674149433	525.471779186124	150.155006337558	297.382085723816	783.987938625751	357.416100066711	185.855514676451	200.890659439626	171.642956971314	162.03508772515	3090.08874182789	244.975336557705	266.790010006671	275.723411607739	1770.21456737825	264.344267511674	978.745098732488	4502.14599199466
Dasatinib_0.031623_24hr	2839.64209462578	693.905017474448	263.850747774481	462.746833827893	600.718076491922	138.628569403231	602.356825585229	1031.17471711177	275.096131552918	194.525456643587	168.41759347181	155.640763270689	151.072501813386	3401.17877349159	356.804753709199	295.919754698319	242.532903066271	608.363448071217	231.827033630069	565.570677546983	7104.03113155292
Paclitaxel_0.031623_24hr	3434.29622754491	254.307341317365	456.322826347305	814.101353293413	867.953886227545	184.272035928144	1793.60914371257	3971.38134131737	791.543389221557	258.75554491018	282.029664670659	170.154766467066	192.549826347305	7717.97113772455	700.65071257485	457.578904191617	350.519323353293	359.053389221557	386.985011976048	405.24271257485	16704.1573113772
Paclitaxel_0.001_24hr	2485.99416648169	644.011769885313	276.226479837218	470.232479467259	567.063469108398	155.371435442101	465.248089530152	1614.4917254902	552.418947095819	190.562769515353	229.644697373289	164.462285238624	165.201981132075	3873.46466555679	283.183588235294	275.111853866075	288.602858305586	1181.60089715131	323.366741028487	1020.34952756197	5952.10018571957
Etoposide_0.031623_48hr	864.652785580801	347.154712009442	257.801716730599	414.937068260057	3015.77212678273	229.509296449297	2252.15839618373	707.349202222878	267.54668643651	321.376221205862	1648.98375833579	229.320495426379	217.516167404347	2226.34681164552	921.27218186289	558.663785285728	382.660088718403	886.178747516475	2917.57650290154	1576.3949840661	6081.08767728927
Neratinib_0.01_48hr	823.847378893833	376.390495867769	258.409986013986	343.090706293706	2608.77606466261	222.020608119154	2191.36276378167	685.680885296522	232.577913904278	299.919824720734	2138.64868386159	225.877140495868	211.313023885206	1835.07989646717	841.141631005358	560.824880755608	342.19946162928	1017.07198764871	3704.25734610844	1613.7870293343	5719.24979529561
Paclitaxel_0.0031623_48hr	2782.55182222222	372.531515555556	260.124695555556	1126.17709111111	4408.24842	253.670913333333	5618.45885333333	1794.35791777778	787.182773333333	558.252615555556	946.44404	265.932646666667	216.969422222222	4797.28995111111	1805.12985777778	1093.33247777778	793.360615555556	728.714268888889	2010.20228666667	1044.15969111111	9532.83541333333
Alpelisib_0.031623_48hr	787.035297000796	417.517827744846	248.64007334336	314.470314783686	2295.37382969123	208.07108988764	2229.29858727771	652.518836149695	250.99453030169	280.887040874104	1891.60761638503	214.415396001062	201.69434760683	1647.2819156861	842.529928249137	532.533905688755	344.662575510926	1081.50815057949	3119.00841148368	1442.46164956206	5608.83693621163
Vorinostat_3.1623_48hr	1264.72882253521	353.860892957747	231.133657746479	850.473152112676	2001.1803915493	214.95956056338	3592.5665056338	607.086523943662	435.874928169014	355.33074084507	537.4856	264.423694366197	222.339521126761	3529.0735028169	1025.55863239437	565.438133802817	554.85946056338	461.328477464789	1046.97631267606	862.859797183099	6578.84564084507
Trametinib_0.031623_48hr	1093.05803548387	221.440703686636	201.195548387097	292.271247926267	480.891094470046	211.705583410138	1567.22349723502	469.32894562212	221.990534562212	266.887415207373	206.682767741935	193.636847926267	191.949094009217	1280.84794654378	911.49860921659	351.831500460829	323.637242396313	306.396847465438	316.32069078341	289.524216129032	2407.02360138249
Dasatinib_10_48hr	500.133863849765	219.565374021909	210.721816901408	254.933823161189	375.32455086072	214.747712050078	500.611768388106	322.414669796557	207.407300469484	268.965466353678	202.097084507042	211.526111111111	193.678358372457	457.18696713615	494.710026604069	341.714615023474	315.051403755869	302.905302034429	294.722730829421	274.046018779343	658.492830985915
Trametinib_0.0031623_48hr	1246.37851568558	337.755252379274	248.255157208319	499.416472682411	2260.98615474092	220.429892492069	3861.2234258019	783.355533662319	252.836695100458	447.682563623546	737.371897426859	213.323961579133	201.243570673246	3474.50710186817	1386.57177581953	449.284217835742	454.408436376454	942.689932322876	1578.85033345083	1273.01794606979	8096.53588826225
Palbociclib_1_48hr	916.461648758147	368.16914074335	243.091237801656	398.702387176326	2556.44132305795	215.707461511362	2189.41352774353	622.597320591862	252.925220186718	244.625908578475	1688.98705337326	206.468152545358	211.966637308438	2251.94398943104	843.213260701075	718.965494098996	466.851627620222	885.356642769068	3599.46710339968	1172.09247560331	6145.30125541659
Dasatinib_0.1_48hr	2198.41185422343	754.71461253406	321.587166485014	687.586723705722	4900.55734959128	310.172052588556	3485.2658626703	1080.03368828338	289.945691008174	506.365820163488	1121.20499237057	277.738016621253	235.944524523161	6500.9772400545	1343.51775613079	780.749589100817	594.592489373297	1929.08374659401	3039.27296839237	3057.75903242507	10867.526046049
Vorinostat_10_48hr	427.072865430622	200.51516895933	192.290746710526	232.972829545455	405.778185705742	188.763348086124	820.342331638756	270.817447069378	206.833870813397	204.597322069378	191.589813995215	198.23635257177	192.535414473684	961.101900717703	451.872259868421	330.731985047847	288.710189892344	283.371623803828	299.893916267943	305.763274521531	1974.92774132775
Neratinib_1_48hr	1231.99494573643	255.753255813954	216.291418604651	323.27536627907	1465.96836046512	209.904478682171	4093.30129457364	721.91328875969	231.995627906977	299.806178294574	201.659329457364	208.801972868217	189.888174418605	3581.75436627907	1441.59391860465	468.81246124031	371.660112403101	333.054011627907	393.40288372093	338.154782945736	11892.270370155
Etoposide_10_48hr	474.353033215235	209.392544729849	192.276719663419	439.400007528787	587.657077502214	190.899799822852	1001.75297165633	382.806515943313	289.782918511957	239.747754207263	216.216882639504	254.542703720106	198.239936226749	778.706763507529	458.819832152347	475.091467670505	414.25989193977	285.426397697077	361.746265721878	335.000378210806	2175.49745615589
Etoposide_3.1623_48hr	1199.52603314917	279.558576427256	217.388937384899	1068.33501104972	2054.90107734807	217.411425414365	3681.12829097606	792.789637200737	461.336874769797	387.613272559853	688.498546961326	397.834755064457	211.416392265193	2986.85615837937	1102.8085985267	1046.01103499079	741.941854511971	435.306900552486	1418.26317127072	1016.81128176796	9719.8329373849
Etoposide_1_48hr	1200.20446323529	277.786909313726	221.515106617647	698.323513480392	2770.74224019608	221.883281862745	3068.71781372549	775.325714460784	415.140053921569	287.631503676471	844.153530637255	261.314927696078	224.115671568627	3516.08225735294	1153.14023161765	982.875159313725	683.766183823529	450.179394607843	1958.9045502451	885.994240196078	9315.43684436274
Paclitaxel_0.001_48hr	1036.76594074556	416.273560963699	250.33512599707	351.207956047534	2350.83917841446	211.017727169136	1995.33546589614	777.123976070324	309.967454501058	252.107215529871	1838.85110890444	213.689454012697	206.576899560475	2330.09868223995	915.447346247762	643.271049650008	426.93053768517	1060.17283249227	3192.11137050301	1151.30541266482	6894.61981605079
Alpelisib_10_48hr	1204.43934068627	367.99681495098	252.526403594771	390.702553921569	1874.24358864379	203.270968954248	2841.31711356209	695.329828431373	235.802231617647	249.961480392157	539.269424836601	207.582386029412	195.667473447712	2658.24694771242	876.650363153595	651.957988153595	384.321982434641	759.68454370915	1075.80606045752	833.318439542484	7950.14054003268
Palbociclib_0.1_48hr	818.421342961061	431.837910141207	254.614640671801	309.152997539581	2281.92613917415	205.970519041506	1976.30149101412	614.658768399658	253.24460665383	234.224528562259	2060.01555605477	205.094027492512	204.872285836543	1945.74491463415	841.600788724861	621.340104514335	377.143260697475	1056.51906193838	3547.96686938383	1192.2206432392	6516.56938029525
Trametinib_0.1_48hr	1677.64059839357	279.194652610442	238.4525562249	495.14946184739	2395.99054718876	215.109560240964	4342.54363353414	770.59452309237	264.066654618474	380.387243975904	238.017699799197	205.692701807229	193.566416666667	5442.98505722892	2548.25941566265	548.56447690763	444.690062248996	373.737830321285	526.038697791165	449.727096385542	11105.483189759
Trametinib_0.0003_48hr	755.255897115209	372.215382965127	265.25748183312	347.319369180208	2293.30052702209	224.58325378857	1960.07961712616	664.703790396202	232.226984389264	285.107032864707	1578.89410398028	213.669841792952	207.087526109184	2062.18137976995	838.314109092569	535.805592203761	351.715497535147	1112.22593061895	3115.03421727223	1490.18493874384	7339.60922585357
Neratinib_0.001_48hr	734.053291595464	397.841722075501	246.120921702657	289.521272254156	2270.50901802082	218.531146419139	1586.46778965357	654.280540158459	251.560075267982	259.15084231785	1457.54861806742	205.667180907255	205.757299363057	2084.60808389001	864.338507146186	529.571847988193	339.714568277148	943.65383027808	2349.03266234271	1335.5817717881	5918.72089272953
Neratinib_0.031623_48hr	832.042515637748	376.853955262442	258.366842942616	261.931672831112	1684.13828311123	205.418959613816	1738.33880269241	620.619382104977	230.70121117759	233.06587979331	1326.58527481643	199.501369458798	198.01316548817	1909.73761939081	834.383803100354	531.510997008431	336.350466140876	891.016201115039	2275.3707208322	1033.81375428338	6312.88064971444
Paclitaxel_0.0001_48hr	726.343728539035	403.700739229025	243.382311467444	257.420393181082	1971.05929397473	208.430486556527	1629.65834143181	665.443139617752	250.402892290249	228.075009475219	1667.8472052964	200.932880223518	202.684100259151	1539.82561669906	872.495671363784	567.080864593456	331.625761175899	1019.58871323291	2791.80168318756	1163.55969266278	6796.08353587626
